"","Details","MRP_Rs","SellPrice_Rs","Discount_Percent","SellingDate","Quantity"
"4525","checks cotton womens shift dress - navy",2299,919,60,2022-07-10,7
"4526","loose fit ankle length cotton womens jeans - blue",3699,2959,20,2022-08-17,7
"4527","womens black short sleeve shirt - black",1490,745,50,2022-06-25,9
"4528","skinny fit ankle length cotton blend womens jeans - blue",1895,1326,30,2022-07-19,8
"4529","geometric polyester u neck womens top - multi",1499,749,50,2022-06-18,8
"4530","printed polyester v neck womens  tops - blue",2599,2079,20,2022-08-06,9
"4531","solid cotton collared neck womens regular fit tunic - mango",1795,1256,30,2022-10-21,8
"4532","regular fit regular cotton womens jeans - light blue",2699,1889,30,2022-06-17,9
"4533","solid cotton v neck womens shirt - black",2499,1999,20,2022-06-15,8
"4534","solid shirt collar polyester womens coat - black",5999,2399,60,2022-08-14,8
"4535","checks viscose v-neck womens regular fit woven top - black",999,399,60,2022-06-13,7
"4536","solid regular fit viscose blend womens formal leggings - brown",999,499,50,2022-06-04,9
"4537","regular fit full length acrylic womens leggings - grey",999,499,50,2022-06-24,9
"4538","solid regular neck viscose blend womens top - blush",1499,749,50,2022-10-09,7
"4539","dyed rayon shirt collar womens blouse - black",1399,699,50,2022-11-01,8
"4540","solid tencel collared neck womens regular fit shirt - blue",1499,749,50,2022-10-16,8
"4541","solid crepe round neck womens regular top - purple",1400,1120,20,2022-08-19,8
"4542","womens round neck graphic print t-shirt - pink",999,399,60,2022-11-02,9
"4543","checked round neck womens top - natural",1999,999,50,2022-09-20,9
"4544","textured polyester round neck womens t-shirt - green",1799,1439,20,2022-11-04,7
"4545","womens blue stripe button down shirt - blue",1890,661,65,2022-07-29,9
"4546","solid sleeveless viscose womens regular jumpsuit - indigo",2899,2319,20,2022-08-12,9
"4547","checks skinny rayon blend womens casual wear trousers - black",1595,1116,30,2022-07-12,8
"4548","womens skinny fit know your worth denim jeans - blue",2449,979,60,2022-07-16,9
"4549","womens round neck embroidered top - black",2499,999,60,2022-09-05,7
"4550","womens buy me chocolates colour block jacket - multi",2499,749,70,2022-09-20,8
"4551","solid viscose regular neck womens top - off white",1699,1019,40,2022-06-26,9
"4552","womens mao collar printed bomber jacket - print",1999,599,70,2022-08-31,9
"4553","solid rayon womens formal wear blazer - black",3999,2399,40,2022-09-08,8
"4554","womens regular fit checks casual top - blue",999,499,50,2022-10-20,8
"4555","printed cotton round neck womens regular fit t-shirt - white",599,299,50,2022-08-13,9
"4556","prints polyester round neck womens regular top - maroon",1499,899,40,2022-07-10,9
"4557","solid cotton round neck womens fit and flare top - pink",1299,649,50,2022-06-15,7
"4558","printed polyester blend round neck womens regular t-shirt - red",999,499,50,2022-07-16,7
"4559","dyed shirt collar rayon womens regular dress - green",2450,799,67,2022-10-18,8
"4560","solid viscose womens regular fit top - mustard",899,449,50,2022-07-02,8
"4561","regular fit regular length cotton blend womens jeans - navy",2299,1379,40,2022-07-10,9
"4562","solid polyester round neck womens t-shirt - red",1599,1119,30,2022-11-10,7
"4563","solid round neck viscose womens straight top - yellow",1699,1359,20,2022-08-28,7
"4564","textured cotton blend round neck womens top - yellow",1999,1399,30,2022-10-17,7
"4565","checks collared neck rayon womens casual shirt - mustard",699,349,50,2022-11-09,8
"4566","regular fit cotton womens casual wear shorts - mid blue",1899,1329,30,2022-07-08,7
"4567","solid polyester blend ankle length womens active wear tights - blush",999,499,50,2022-10-17,7
"4568","solid polyester round neck womens regular fit top - navy",999,499,50,2022-09-13,9
"4569","skinny fit full length cotton blend womens jeans - light blue",1595,797,50,2022-07-01,7
"4570","solid sleeveless linen womens full length jumpsuit - black mix",3499,2274,35,2022-10-14,7
"4571","all over print polyester v neck womens t-shirt - pink",1999,1399,30,2022-09-28,7
"4572","womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi",399,199,50,2022-09-23,9
"4573","solid polyester tie up neck womens tiered top - red",1599,499,69,2022-10-30,8
"4574","dyed v-neck viscose blend womens regular blouse - peach",1450,725,50,2022-10-12,9
"4575","solid rayon blend womens regular top - navy",1599,639,60,2022-10-05,8
"4576","printed cotton u neck womens dress - orange",2699,1619,40,2022-07-05,7
"4577","womens off shoulder neck dot pattern top - mustard",1399,499,64,2022-06-15,8
"4578","solid nylon blend womens regular dress - black",2699,1889,30,2022-09-17,8
"4579","printed rayon collar neck womens casual wear dresses - black",2299,919,60,2022-10-27,8
"4580","solid regular neck acrylic womens cardigan - pink",1699,849,50,2022-10-20,7
"4581","solid cotton round neck womens regular fit t-shirt - blue",1399,699,50,2022-10-11,9
"4582","printed cotton blend round neck womens regular t-shirt - grey melange",399,199,50,2022-11-03,7
"4583","solid polyester v-neck women wrap women top - blue",1990,1194,40,2022-09-06,9
"4584","printed cotton round neck womens top - white",1199,839,30,2022-09-25,8
"4585","solid linen v-neck women regular women t-shirt - green",1290,690,47,2022-10-08,9
"4586","womens a-line applique solid casual wear trousers - off white",1499,899,40,2022-07-12,9
"4587","regular fit above knee viscose rayon womens casual shorts - blue",1199,599,50,2022-07-04,7
"4588","printed cotton blend v-neck women regular women top - yellow",1990,1194,40,2022-08-30,8
"4589","solid regular fit polyester womens casual trousers - yellow",1999,699,65,2022-08-15,9
"4590","solid square neck cotton womens a-line dress - black",2290,1145,50,2022-06-18,7
"4591","floral round neck lace womens regular top - red",1600,800,50,2022-06-07,9
"4592","printed round neck georgette womens a-line dress - maroon",2100,1050,50,2022-08-20,7
"4593","womens slim fit printed shirt - red",1299,649,50,2022-10-22,7
"4594","regular fit midi length viscose womens casual skirt - navy",1594,637,60,2022-11-03,8
"4595","womens navy sleeveless frill top - navy",1890,945,50,2022-08-29,8
"4596","womens black short sleeve t-shirt - black",990,297,70,2022-09-24,9
"4597","embellished square neck georgette womens longline dress - pink",2800,1400,50,2022-06-19,9
"4598","solid polyester blend regular fit womens flared trousers - pink",2200,1760,20,2022-09-19,9
"4599","womens regular fit printed round neck fit and flare jumpsuit - purple",1294,517,60,2022-06-05,7
"4600","solid acrylic round neck womens sweater - peach",2299,1609,30,2022-07-17,7
"4601","solid cotton square neck womens regular fit top - red",699,349,50,2022-07-21,9
"4602","solid round neck polyester womens regular dress - orange",2498,999,60,2022-08-20,9
"4603","printed boat neck viscose womens top - lemon",1799,1439,20,2022-10-16,9
"4604","printed cotton round neck womens regular t-shirt - off white",399,199,50,2022-07-02,9
"4605","printed polyester womens regular blouse - ivory",1499,1049,30,2022-08-18,8
"4606","polyester regular fit womens cap - blue",1299,909,30,2022-11-11,9
"4607","solid tencel collar neck womens casual shirt - lilac",1299,1169,10,2022-09-19,9
"4608","solid viscose square neck womens top - pink",2299,1609,30,2022-07-10,7
"4609","printed cotton regular neck womens t-shirt - aqua",499,249,50,2022-07-28,8
"4610","embellished round neck crepe womens regular dress - black",2200,1100,50,2022-08-31,8
"4611","floral sweetheart neck rayon blend womens a-line dress - brown",1998,799,60,2022-10-05,9
"4612","solid fleece round neck womens sweatshirt - rust",2399,959,60,2022-07-29,8
"4613","solid v neck polyester womens casual shrugs - black",1999,799,60,2022-10-30,7
"4614","printed georgette round neck womens regular fit top - green",1795,718,60,2022-10-29,9
"4615","checks viscose blend mandarin womens casual wear shirt - red",1899,1329,30,2022-06-26,7
"4616","graphic round neck cotton blend womens sweatshirt - navy",1699,849,50,2022-06-04,9
"4617","solid polyester round neck womens dress - blue",2799,2239,20,2022-09-29,9
"4618","printed v-neck polyester womens regular fit dress - ivory",2799,1399,50,2022-11-09,8
"4619","textured poly lycra one shoulder womens regular dress - silver",2800,2240,20,2022-08-10,7
"4620","cotton regular fit womens track pants - blue",1399,979,30,2022-11-02,8
"4621","solid polyester regular fit womens joggers - peach",1199,599,50,2022-07-20,9
"4622","printed three quarter sleeves viscose womens regular jumpsuit - black",2999,1949,35,2022-10-14,9
"4623","solid lyocell v neck womens  shirts - yellow",2699,2159,20,2022-10-15,8
"4624","printed cotton round neck womens  t-shirts - orange",1799,1259,30,2022-06-21,9
"4625","solid round neck viscose womens midi dress - green",2999,1799,40,2022-08-05,9
"4626","solid tight fit polyester womens tights - black",3299,1649,50,2022-11-12,9
"4627","womens mandarin collar solid eyelet skater dress - green",3499,1399,60,2022-09-01,8
"4628","printed viscose v neck womens regular top - off white",1199,599,50,2022-10-23,9
"4629","womens regular fit highrise dip dye bony jeans light blue - light blue",2399,959,60,2022-06-27,8
"4630","printed polyester round neck womens active wear t-shirt - black",999,499,50,2022-09-28,7
"4631","solid polyester collar neck womens straight top - yellow",1099,879,20,2022-06-11,8
"4632","stripes cotton round neck womens regular t-shirt - red",499,249,50,2022-10-10,8
"4633","cotton blend womens active wear track pants - navy",1049,734,30,2022-06-06,8
"4634","viscose round neck women's top - blue",1799,899,50,2022-07-01,8
"4635","printed polyester high neck womens straight fit top - black",1599,639,60,2022-10-25,9
"4636","skinny fit ankle length cotton blend womens jeggings - grey",1495,1046,30,2022-10-29,9
"4637","regular fit midi length polyester womens casual skirt - mustard",1799,899,50,2022-09-29,9
"4638","womens vintage acidic glaze skinny jeggings - light blue",2199,879,60,2022-11-03,9
"4639","solid v neck polyester blend womens regular dresses - black",2500,1250,50,2022-09-16,7
"4640","statement melange jersey crew neck womens t-shirt - blue",999,599,40,2022-09-20,7
"4641","floral halter neck georgette womens a-line dress - white",2600,1300,50,2022-07-13,9
"4642","solid high neck acrylic womens sweater - off white",3499,1399,60,2022-09-26,7
"4643","solid collar neck polyester women shift dress - pink",2899,1449,50,2022-08-23,9
"4644","womens hooded neck slub sweatshirt - blue melange",1599,1119,30,2022-10-19,7
"4645","womens off shoulder solid shift dress - blue",1799,539,70,2022-09-20,7
"4646","womens dancing on my own denim dungaree - blue",2799,1259,55,2022-07-12,9
"4647","womens regular fit printed trousers - yellow",1494,597,60,2022-06-11,8
"4648","solid rayon shirt collar womens woven top - lemon",1699,849,50,2022-06-22,9
"4649","checks round neck viscose womens dress - white",3299,1649,50,2022-09-20,9
"4650","womens regular fit cloudnine skinny fit jeans white - white",2499,999,60,2022-08-23,9
"4651","solid half sleeves crepe womens regular length jumpsuit - purple",2400,1200,50,2022-10-14,9
"4652","regular fit regular cotton lycra womens jeans - dark blue",2599,1819,30,2022-06-12,7
"4653","all over print cotton regular fit womens shorts - white",1999,1399,30,2022-07-30,7
"4654","solid round neck viscose womens knits knit top - blue",2299,1839,20,2022-06-20,9
"4655","printed cotton round neck womens regular top - off white",1199,599,50,2022-10-02,7
"4656","printed viscose blend regular neck womens t-shirt - black",599,299,50,2022-10-16,7
"4657","womens rule of joy denim joggers - blue",2449,1224,50,2022-09-15,8
"4658","floral georgette off shoulder womens midi dress - black",2400,1920,20,2022-08-30,9
"4659","solid polyester blend regular fit womens casual pants - black",2390,1434,40,2022-08-22,7
"4660","solid skinny fit viscose womens casual wear pants - black",2699,2159,20,2022-10-19,8
"4661","womens grey printed top - grey",1599,959,40,2022-09-19,7
"4662","solid v neck polyester womens casual jackets - black",1899,759,60,2022-07-26,8
"4663","solid polyester round neck womens top - blue",1999,1399,30,2022-09-24,9
"4664","solid cotton spread collar womens casual wear shirt - navy",2299,1609,30,2022-07-13,9
"4665","solid polyester womens a-line dress - blue",2699,1079,60,2022-07-16,9
"4666","solid polyester round neck womens casual jacket - lilac",4990,3493,30,2022-10-08,8
"4667","solid comfort fit cotton blend womens casual wear trousers - dark blue",1595,1116,30,2022-10-13,7
"4668","dyed rayon shirt collar womens regular top - maroon",1399,499,64,2022-10-23,8
"4669","placement print cotton round neck womens t-shirt - white",1799,1259,30,2022-07-08,9
"4670","solid sweetheart neck cotton womens regular dress - brown",1698,849,50,2022-10-26,9
"4671","floral polyester blend regular fit womens shorts - multi",1990,895,55,2022-07-01,7
"4672","solid nylon blend womens regular dress - black",2499,1749,30,2022-11-07,9
"4673","floral round neck rayon womens wrap dress - sage",2899,1449,50,2022-06-28,7
"4674","embroidered collared neck cotton womens casual jacket - blue",1999,999,50,2022-10-28,8
"4675","self design polyester stand collar womens top - brown",2299,1609,30,2022-07-10,7
"4676","floral square neck womens a-line top - white",1899,949,50,2022-09-03,9
"4677","skinny fit ankle length cotton blend womens jeans - blue",1895,1326,30,2022-09-10,8
"4678","printed cotton blend round neck womens t-shirts - orange",2499,1249,50,2022-11-01,7
"4679","floral linen womens straight jumpsuits - pink",4899,3919,20,2022-09-06,9
"4680","printed cotton round neck womens athleisure top - black",1799,1259,30,2022-06-21,7
"4681","solid cotton boat neck womens a line top - yellow",1399,629,55,2022-06-24,7
"4682","printed rayon spread collar womens regular blouse - blue",1399,699,50,2022-06-12,7
"4683","polyester high rise tight fit womens athleisure tights - black",3999,2799,30,2022-10-18,8
"4684","solid rayon round neck womens top - peach",1399,699,50,2022-07-02,7
"4685","textured v neck satin womens mini dress - blue",2100,1680,20,2022-09-19,8
"4686","womens athleisure swing tank top - ice blue",499,349,30,2022-08-23,9
"4687","printed cotton blend round neck womens t-shirt - natural",1299,649,50,2022-08-17,8
"4688","solid viscose round neck womens cropped top - coral",1699,1189,30,2022-11-06,9
"4689","regular mid thigh leather womens casual wear skirt - pink",2499,2249,10,2022-08-26,9
"4690","solid collar neck polyester stretch womens jacket - rust",2999,1499,50,2022-06-18,8
"4691","solid polyester stretch mandarin womens regular top - green",1650,825,50,2022-08-17,8
"4692","solid polyester stretch shirt collar womens regular fit knit top - brown",1599,799,50,2022-06-25,8
"4693","solid polyester round neck womens top - black",1599,959,40,2022-07-01,7
"4694","printed polyester v neck womens top - pink",1599,799,50,2022-08-29,9
"4695","floral sleeveless polyester womens jumpsuit - cream",2699,1619,40,2022-10-15,8
"4696","solid regular fit linen women casual women trousers - olive",2790,1674,40,2022-10-14,8
"4697","solid polyester round neck womens top - black",1499,599,60,2022-09-23,9
"4698","solid viscose square neck women regular top - burgundy",2299,1149,50,2022-07-27,8
"4699","stripes crepe sweetheart neck womens regular fit top - black",1499,599,60,2022-06-14,7
"4700","solid square neck polyester womens regular fit dress - blue",2999,2099,30,2022-07-04,7
"4701","super skinny fit full length cotton womens jeans - blue",1895,947,50,2022-08-03,7
"4702","printed round neck polyester womens shift dress - black",2499,999,60,2022-08-03,8
"4703","floral sweetheart neck rayon blend womens regular dress - black",1998,999,50,2022-06-23,9
"4704","abstract polyester square neck womens top - green",1499,899,40,2022-08-17,7
"4705","stripes cotton collared womens casual shirt - green",1499,899,40,2022-06-05,7
"4706","printed modal stylized womens woven top - navy",1999,799,60,2022-08-01,8
"4707","printed viscose crew neck womens t-shirt - multi",1699,1019,40,2022-07-06,7
"4708","printed cotton blend round neck womens regular t-shirt - black",1199,839,30,2022-08-27,7
"4709","solid polyester blend round neck womens regular fit t-shirt - black",1299,649,50,2022-06-29,7
"4710","textured rayon regular fit womens casual pants - charcoal",1999,1199,40,2022-09-02,9
"4711","solid round neck viscose elastane poly womens regular dress - rust",2290,1374,40,2022-07-16,9
"4712","solid georgette halter neck womens top - blue",1500,1200,20,2022-07-29,9
"4713","solid regular neck polyester womens pullover - powder blue",1299,649,50,2022-07-05,9
"4714","stripes cotton round neck womens t-shirt - yellow",1299,1039,20,2022-08-05,7
"4715","solid regular fit nr roma womens casual pants - black",1299,649,50,2022-09-17,8
"4716","solid regular fit polyester womens casual trousers - mid blue",1699,999,41,2022-11-14,9
"4717","floral polyester collar neck womens top - green",1799,1079,40,2022-07-04,9
"4718","solid cotton blend round neck womens top - red",950,475,50,2022-09-14,9
"4719","womens floral casual shirt - black",1595,797,50,2022-06-14,7
"4720","solid satin v neck womens top - natural",1790,1163,35,2022-08-08,7
"4721","printed cotton round neck womens t-shirt - green",1299,909,30,2022-09-03,8
"4722","solid regular fit polyester womens sports top - red",1799,899,50,2022-07-15,9
"4723","printed cotton blend round neck womens regular t-shirt - navy",1299,909,30,2022-09-22,9
"4724","printed boat neck satin womens regular dress - multi",2290,1832,20,2022-07-23,8
"4725","all over print cotton round neck womens sweatshirt - white",2499,1749,30,2022-07-15,9
"4726","textured polyester round neck womens dress - natural",3999,3199,20,2022-06-04,9
"4727","cotton relaxed fit womens jeans - blue",3999,3199,20,2022-09-04,7
"4728","solid viscose collar neck womens regular top - sage",1899,1519,20,2022-09-26,9
"4729","womens regular fit chasing life denim jeans navy blue - navy",2399,959,60,2022-11-11,7
"4730","womens round neck embroidered top - cream",1999,799,60,2022-08-13,8
"4731","floral viscose u neck womens top - cream",1499,899,40,2022-07-30,7
"4732","womens 2 pocket solid pants - navy",1899,759,60,2022-06-01,7
"4733","solid polyester blend regular fit womens festive skirt - pink",1490,670,55,2022-10-18,7
"4734","embellished collared neck cotton womens casual jacket - mid blue",2799,1399,50,2022-09-19,7
"4735","embellished polyester womens top - gold",2499,1499,40,2022-07-22,8
"4736","cotton blend womens active wear track pants - island blue",1049,734,30,2022-06-13,9
"4737","all over print polyester round neck womens dress - green",3499,2449,30,2022-10-18,8
"4738","solid tencel collar neck womens crop shirt - baby pink",1199,839,30,2022-09-22,9
"4739","printed cotton round neck womens t-shirt - white",1299,1039,20,2022-11-02,7
"4740","embroidered cotton v-neck womens regular top - natural",1299,649,50,2022-07-01,9
"4741","solid polyester round neck womens dress - brown",4299,3439,20,2022-10-25,9
"4742","checks cotton round neck womens top - red",2299,1149,50,2022-06-28,9
"4743","self pattern cotton  women's casual wear pants - grey",2499,1999,20,2022-09-08,8
"4744","solid blended round neck womens t-shirt - grey",2999,1499,50,2022-07-31,8
"4745","solid satin v neck womens top - rust",1790,1074,40,2022-07-15,7
"4746","solid v-neck polyester womens fit & flare dress - peach",2499,1249,50,2022-10-23,7
"4747","printed polyester round neck womens top - navy",1999,999,50,2022-10-03,9
"4748","solid skinny fit nr roma womens casual pants - anthra",999,499,50,2022-06-23,8
"4749","stripes viscose blended square neck womens top - white",2299,1379,40,2022-09-07,9
"4750","cotton mid rise regular fit womens athleisure pants - black",3499,2449,30,2022-10-05,9
"4751","solid polyester stretch surplice neck womens regular fit knit top - pink",1599,799,50,2022-11-07,8
"4752","solid sleeveless polyester womens jumpsuit - green",2799,2239,20,2022-08-11,9
"4753","solid collar neck polyester womens casual shirt - white",2499,1999,20,2022-08-12,7
"4754","printed cotton regular neck womens t-shirt - turquoise",499,249,50,2022-10-28,9
"4755","solid regular fit cotton womens active wear tights - black",2999,1499,50,2022-07-15,8
"4756","solid cotton round neck womens regular fit top - white",1599,639,60,2022-10-29,9
"4757","solid round neck polyester womens longline dress - blue",2699,1349,50,2022-08-10,7
"4758","checks rayon collar neck womens regular shirt - black",1399,699,50,2022-10-31,9
"4759","solid cotton blend loose fit womens joggers - black",1299,649,50,2022-09-06,8
"4760","printed regular fit polyester womens active wear tights - pink",2499,1249,50,2022-07-13,8
"4761","printed viscose rayon tie up neck womens top - natural",1098,494,55,2022-10-19,9
"4762","embroidered collared neck cotton womens casual jacket - ecru",2499,999,60,2022-08-22,9
"4763","skinny fit ankle length rayon blend womens jeggings - grey",1595,797,50,2022-08-01,7
"4764","womens floral tie up neck straight fit top - mustard",1899,759,60,2022-09-11,8
"4765","structured polyester regular fit womens top - white",1699,499,71,2022-06-20,9
"4766","striped straight fit viscose womens casual wear trousers - black mix",1699,849,50,2022-11-01,9
"4767","geometric boat neck viscose womens straight jumpsuits - indigo",2499,1999,20,2022-06-09,7
"4768","solid round neck viscose womens sweatshirts - purple",2799,1679,40,2022-11-07,9
"4769","skinny ankle length cotton blend womens regular jeans - blue",1895,947,50,2022-06-05,9
"4770","printed cotton round neck womens t-shirt - purple",1299,909,30,2022-07-16,7
"4771","embroidered polyester regular fit womens shrug - blue",1999,799,60,2022-09-18,7
"4772","self design georgette womens regular dress - black",2600,1300,50,2022-07-25,8
"4773","floral polyester boat neck womens straight gown - pink mix",4499,3599,20,2022-07-27,8
"4774","womens v- neck floral top - blue",999,499,50,2022-10-01,7
"4775","solid rayon blend collar neck womens casual shirt - pink",1999,999,50,2022-11-05,7
"4776","clean look cotton straight fit womens jeans - blue",3999,2799,30,2022-10-26,9
"4777","printed cotton modal round neck womens t-shirt - blue",999,699,30,2022-06-13,9
"4778","skinny fit ankle length cotton nylon womens jeans - white",1599,639,60,2022-09-15,9
"4779","clean look cotton blend wide fit womens jeans - blue",1995,1795,10,2022-10-26,9
"4780","womens  round neck  printed t-shirt - red",499,249,50,2022-06-10,8
"4781","womens v-neck slub t-shirt - grey melange",999,399,60,2022-08-28,8
"4782","patch work cotton round neck womens regular top - pink",699,349,50,2022-08-30,9
"4783","printed viscose v neck womens dress - yellow",3799,3039,20,2022-06-27,8
"4784","solid georgette womens regular dress - blue",2800,1400,50,2022-08-27,9
"4785","mid wash cotton slim fit womens jeans - blue",3999,3199,20,2022-08-04,9
"4786","tencel tie up neck� womens casual shirt - indigo",2199,1319,40,2022-07-27,9
"4787","printed round neck polyester womens maxi dress - pink",2999,1799,40,2022-06-21,9
"4788","self design cotton shirt collar womens woven top - light blue",2299,1149,50,2022-07-02,8
"4789","printed collared neck cotton regular fit womens night suit - blue",1999,999,50,2022-06-29,7
"4790","textured shirt collar cotton womens casual shirt - green",2999,2099,30,2022-10-02,8
"4791","floral sweetheart neck cotton womens regular dress - multi",1998,999,50,2022-07-28,9
"4792","checks rayon round neck womens top - blue",1399,839,40,2022-06-06,9
"4793","skinny fit regular viscose womens jeans - black",1999,1599,20,2022-09-17,9
"4794","self pattern cotton  women's casual wear pants - ice blue",2499,1999,20,2022-09-20,7
"4795","jacquard regular neck cotton womens sweatshirt - mustard",1699,849,50,2022-08-23,7
"4796","printed cotton round neck womens t-shirt - pink",1199,839,30,2022-09-16,7
"4797","clean look cotton skinny fit womens jeans - green",3999,3199,20,2022-09-21,8
"4798","womens regular fit walk with pride denim jeans black - black",2399,1199,50,2022-10-19,7
"4799","textured round neck acrylic womens sweater - grey",1999,999,50,2022-06-17,9
"4800","dyed round neck polyester womens regular dress - black",2999,1499,50,2022-06-11,8
"4801","printed round neck cotton womens silhouette top - dark brown",599,299,50,2022-08-08,8
"4802","solid cotton round neck womens regular t-shirt - turquoise",399,199,50,2022-07-28,8
"4803","solid lyocell relaxed fit womens pants - light blue",2999,2399,20,2022-09-30,9
"4804","solid cotton blend womens top - pink",1599,1119,30,2022-11-11,7
"4805","solid others viscose spandex womens regular top - pink",1890,1134,40,2022-09-05,7
"4806","floral round neck crepe womens flared dress - green",1900,950,50,2022-06-01,9
"4807","skinny fit ankle length cotton stretch womens jeans - black",999,699,30,2022-09-04,7
"4808","printed rayon collar neck womens casual shirt - black",999,499,50,2022-07-20,8
"4809","regular fit regular cotton lycra womens jeans - mid blue",2499,1749,30,2022-06-04,9
"4810","womens regular fit just the right madness denim joggers - light blue",2349,939,60,2022-06-13,8
"4811","regular fit full length acrylic womens leggings - maroon",999,499,50,2022-09-10,8
"4812","polyester mid rise tight fit womens athleisure tights - black",3999,2799,30,2022-10-30,7
"4813","solid cotton womens casual t-shirt - green",1299,779,40,2022-11-13,8
"4814","printed polyester off shoulder womens top - yellow",1699,849,50,2022-10-21,7
"4815","womens slim fit printed shirt - yellow",1399,979,30,2022-08-29,9
"4816","womens slim fit printed shirt - black",1499,1049,30,2022-08-24,7
"4817","solid viscose rayon shirt collar womens straight tunic - black",1999,1199,40,2022-09-26,7
"4818","floral round neck polyester womens jacket - cream",4199,2099,50,2022-10-28,7
"4819","printed jersey round neck womens regular fit top - black",499,249,50,2022-08-11,9
"4820","printed round neck cotton womens fit and flare dress - navy",1894,947,50,2022-06-07,8
"4821","floral cotton v neck womens dress - yellow",2599,1299,50,2022-10-11,7
"4822","printed rayon square neck womens dress - yellow",2399,1439,40,2022-09-02,9
"4823","printed polyester mandarin neck womens straight fit top - green",1699,679,60,2022-10-24,7
"4824","solid crew neck polyester womens t-shirt - purple",2299,1609,30,2022-06-23,7
"4825","solid collar neck cotton womens jacket - navy",3299,2309,30,2022-09-10,9
"4826","dyed round neck nylon womens regular knit top - blue",1599,1119,30,2022-09-20,7
"4827","floral viscose square neck womens dress - off white",2699,1619,40,2022-06-12,7
"4828","solid polyester v neck womens dress - purple",2599,1559,40,2022-09-24,9
"4829","womens repeat the goodpart denim jacket - navy",4199,1469,65,2022-07-16,8
"4830","stripes round neck cotton womens midi dress - multi",2299,1379,40,2022-11-07,8
"4831","womens polka print high neck top - off white",1799,899,50,2022-09-28,9
"4832","womens 4 pocket check skirt - checks",1699,509,70,2022-06-30,7
"4833","solid polyester womens casual jacket - multi",5999,3599,40,2022-07-02,9
"4834","womens a line fit key hole neck stripe embroidered midi dress - blue",2799,1399,50,2022-08-03,7
"4835","floral polyester v-neck womens asymmetric top - pink",1999,999,50,2022-10-28,7
"4836","floral v- neck polyester women flared dress - blue mix light",3499,2449,30,2022-07-23,8
"4837","dyed round neck cotton womens regular dress - pink",2499,1249,50,2022-07-21,9
"4838","cotton blend womens active wear track pants - dark brown",1699,1189,30,2022-10-15,8
"4839","printed rayon womens regular top - navy",1399,559,60,2022-08-10,7
"4840","womens floral round neck top - blush",2399,1199,50,2022-06-24,7
"4841","womens black and golden quirky block printed crop-top with short ruffle sleeves - black",1399,559,60,2022-06-23,9
"4842","solid collared cotton womens  dresses - green",3799,3039,20,2022-08-18,9
"4843","solid regular fit poly blend womens jeggings - brown",2490,1369,45,2022-08-01,8
"4844","checks round neck cotton womens midi dress - green",2599,2079,20,2022-09-26,9
"4845","printed cotton blend round neck womens t-shirt - white",1049,944,10,2022-08-27,9
"4846","solid regular fit polyester womens party wear pants - black",1999,1399,30,2022-10-16,8
"4847","womens blue solid denim - blue",2199,1099,50,2022-06-03,9
"4848","womens round neck floral print top - mustard",1695,847,50,2022-10-20,9
"4849","textured polyester square neck womens dress - orange",2100,1680,20,2022-06-14,9
"4850","solid mandarin crepe womens regular dress - black",2490,1743,30,2022-09-22,8
"4851","textured high neck cotton womens  dresses - black",3499,2449,30,2022-08-22,7
"4852","cotton regular fit womens designer mask - white",299,209,30,2022-10-27,8
"4853","cotton mid rise regular fit womens athleisure pants - black",3499,2449,30,2022-11-02,9
"4854","embroidered polyester round neck womens top - green mix",1299,909,30,2022-10-27,9
"4855","solid cotton round neck womens top - green",1999,1199,40,2022-10-19,8
"4856","stripes cotton regular womens casual shorts - multi",1799,1079,40,2022-07-10,7
"4857","printed viscose round neck womens regular top - white",999,499,50,2022-09-14,8
"4858","stripes viscose spread collar womens casual wear shirt - yellow",1899,1329,30,2022-10-25,9
"4859","printed cotton collar neck womens t-shirt - black",1999,1399,30,2022-11-10,7
"4860","printed square neck georgette womens regular dress - red",2100,1050,50,2022-06-05,8
"4861","cotton round neck womens t-shirt - pink",999,499,50,2022-07-24,8
"4862","stripes cotton womens shift dress - black",2499,999,60,2022-10-31,9
"4863","printed crepe round neck womens straight fit top - pink",1200,600,50,2022-07-24,8
"4864","cotton bootcut fit womens jeans - black",3799,3039,20,2022-08-10,7
"4865","cotton straight fit womens jeans - blue",3999,2799,30,2022-10-26,8
"4866","floral sweetheart neck rayon blend womens regular dress - purple",2998,1349,55,2022-08-27,8
"4867","printed viscose blend womens regular dress - natural",2699,1889,30,2022-07-09,7
"4868","viscose mandarin womens regular top - green",2299,1839,20,2022-06-30,7
"4869","skinny fit ankle length cotton lycra womens jeans - blue",1499,749,50,2022-07-23,9
"4870","solid georgette collar neck womens dress - pink",1950,1560,20,2022-08-09,8
"4871","regular fit mid thigh cotton lycra womens casual shorts - indigo",999,499,50,2022-08-01,7
"4872","cotton blend fleece womens active wear track pants - print",1599,1119,30,2022-06-24,7
"4873","half sleeves night wear womens t-shirt - olive",399,199,50,2022-08-09,7
"4874","solid viscose regular fit womens jumpsuit - charcoal",3299,2639,20,2022-11-02,7
"4875","cotton straight fit womens jeans - blue",4499,2699,40,2022-07-20,9
"4876","textured crepe halter neck womens regular dress - blue",1950,1560,20,2022-08-14,9
"4877","solid regular neck viscose blend womens cardigan - ivory",1699,849,50,2022-10-06,9
